depth,speed,pw-consuption
0-10,1,0.0555555555555556
0-10,2,0.0584795321637427
0-10,3,0.065359477124183
0-10,4,0.0694444444444445
0-10,5,0.0793650793650794
0-10,6,0.123456790123457
0-10,7,0.222222222222222
0-10,8,0.416666666666667
0-10,9,1.48148148148148
0-10,10,2.22222222222222
10-20,1,0.0416666666666667
10-20,2,0.043859649122807
10-20,3,0.0490196078431373
10-20,4,0.0520833333333333
10-20,5,0.0595238095238095
10-20,6,0.0925925925925926
10-20,7,0.166666666666667
10-20,8,0.3125
10-20,9,1.11111111111111
10-20,10,1.66666666666667
20-40,1,0.0520833333333333
20-40,2,0.0548245614035088
20-40,3,0.0612745098039216
20-40,4,0.0651041666666667
20-40,5,0.0744047619047619
20-40,6,0.115740740740741
20-40,7,0.208333333333333
20-40,8,0.390625
20-40,9,1.38888888888889
20-40,10,2.08333333333333
40-60,1,0.0444444444444444
40-60,2,0.0467836257309942
40-60,3,0.0522875816993464
40-60,4,0.0555555555555556
40-60,5,0.0634920634920635
40-60,6,0.0987654320987654
40-60,7,0.177777777777778
40-60,8,0.333333333333333
40-60,9,1.18518518518519
40-60,10,1.77777777777778
60-100,1,0.0476190476190476
60-100,2,0.050125313283208
60-100,3,0.0560224089635854
60-100,4,0.0595238095238095
60-100,5,0.0680272108843538
60-100,6,0.105820105820106
60-100,7,0.19047619047619
60-100,8,0.357142857142857
60-100,9,1.26984126984127
60-100,10,1.9047619047619
100-200,1,0.0434782608695652
100-200,2,0.045766590389016
100-200,3,0.0490196078431373
100-200,4,0.0543478260869565
100-200,5,0.062111801242236
100-200,6,0.0966183574879227
100-200,7,0.173913043478261
100-200,8,0.326086956521739
100-200,9,1.15942028985507
100-200,10,1.73913043478261
